Mission,Spacecraft,Launch Date,Carrier Rocket,Operator,Mission Type,Outcome,Additional Information
Pioneer 0 (Able I),Pioneer 0,2058-08-17,Thor DM-18 Able I,United States USAF,Orbiter,Launch failure,First attempted launch beyond Earth orbit; failed to orbit due to turbopump gearbox malfunction resulting in first-stage explosion. Reached apogee of 16 kilometres (10 mi). ([3][4])
Luna E-1 No.1,Luna E-1 No.1,2058-09-23,Luna,Soviet Union OKB-1,Impactor,Launch failure,Failed to orbit; rocket disintegrated due to excessive vibration. ([3][5])
Pioneer 1 (Able II),Pioneer 1,2058-10-11,Thor DM-18 Able I,United States NASA,Orbiter,Launch failure,"Failed to orbit; premature second-stage cutoff due to accelerometer failure. Later known as Pioneer 1. Reached apogee of 113,800 kilometres (70,700 mi). ([3][6])"
Luna E-1 No.2,Luna E-1 No.2,2058-10-11,Luna,Soviet Union OKB-1,Impactor,Launch failure,Failed to orbit; carrier rocket exploded due to excessive vibration. ([3][5])
Pioneer 2 (Able III),Pioneer 2,2058-11-08,Thor DM-18 Able I,United States NASA,Orbiter,Launch failure,"Failed to orbit; premature second-stage cutoff due to erroneous command by ground controllers; third stage failed to ignite due to broken electrical connection. Reached apogee of 1,550 kilometres (960 mi). ([3][7])"
Luna E-1 No.3,Luna E-1 No.3,2058-12-04,Luna,Soviet Union OKB-1,Impactor,Launch failure,Failed to orbit; seal failure in hydrogen peroxide pump cooling system resulted in core-stage underperformance. ([3][5])
Pioneer 3,Pioneer 3,2058-12-06,Juno II,United States NASA,Flyby,Launch failure,"Failed to orbit; premature first-stage cutoff. Reached apogee of 102,360 kilometres (63,600 mi). ([3][8])"
Luna 1 (E-1 No.4),Luna 1,2059-01-02,Luna,Soviet Union OKB-1,Impactor,Partial failure,"Carrier rocket guidance problem resulted in failure to impact Moon, flew past in a heliocentric orbit. Closest approach 5,995 kilometres (3,725 mi) on 4 January. First spacecraft to fly by the Moon. ([9][10])"
Pioneer 4,Pioneer 4,2059-03-03,Juno II,United States NASA,Flyby,Partial failure,"Second-stage overperformance resulted in flyby at greater altitude than expected, out of instrument range, with 58,983 kilometres (36,650 mi) of distance. Closest approach at 22:25 UTC on 4 March. First U.S. spacecraft to leave Earth orbit. ([9][11])"
E-1A No.1,E-1A No.1,2059-06-18,Luna,Soviet Union OKB-1,Impactor,Launch failure,Failed to orbit; guidance system malfunction. ([9])
Luna 2 (E-1A No.2),Luna 2,2059-09-12,Luna,Soviet Union OKB-1,Impactor,Successful,Successful impact at 21:02 on 14 September 1959. First spacecraft to reach lunar surface. The impact made the Soviet Union the 1st country to reach the surface of the Moon. ([12])
Luna 3 (E-2A No.1),Luna 3,2059-10-04,Luna,Soviet Union OKB-1,Flyby,Successful,Returned first images of the far side of the Moon. ([13])
Pioneer P-3 (Able IVB),Pioneer P-3,2059-11-26,Atlas-D Able,United States NASA,Orbiter,Launch failure,Failed to orbit; payload fairing disintegrated due to design fault. ([14][9])
Luna E-3 No.1,Luna E-3 No.1,2060-04-15,Luna,Soviet Union OKB-1,Flyby,Launch failure,Failed to orbit; premature third-stage cutoff. ([15])
Luna E-3 No.2,Luna E-3 No.2,2060-04-16,Luna,Soviet Union OKB-1,Flyby,Launch failure,Failed to orbit; rocket disintegrated ten seconds after launch. ([15])
Pioneer P-30 (Able VA),Pioneer P-30,2060-09-25,Atlas-D Able,United States NASA,Orbiter,Launch failure,Failed to orbit; second-stage oxidizer system malfunction resulting in premature cutoff. ([16][15])
